date,open,high,low,close,volume
2025-05-06 00:00:00+05:30,197.86,200.7,192.06,194.46,5621262
2025-05-07 00:00:00+05:30,190.65,196.78,190.02,195.64,5237367
2025-05-08 00:00:00+05:30,195.03,196.98,190.5,192.46,4489862
2025-05-09 00:00:00+05:30,188.5,194.39,188.5,193.03,3873715
2025-05-12 00:00:00+05:30,195.81,199.2,195.81,198.97,3248718
2025-05-13 00:00:00+05:30,199.0,201.31,195.11,197.63,5449240
2025-05-14 00:00:00+05:30,199.7,204.45,196.57,197.35,21762292
2025-05-15 00:00:00+05:30,197.5,199.9,196.56,197.32,7347903
2025-05-16 00:00:00+05:30,197.0,202.75,197.0,201.8,11944254
2025-05-19 00:00:00+05:30,203.0,205.08,195.56,196.65,15854639
2025-05-20 00:00:00+05:30,199.0,201.45,197.5,199.03,10347029
2025-05-21 00:00:00+05:30,198.6,203.38,196.5,200.48,12263249
2025-05-22 00:00:00+05:30,199.6,203.9,199.6,201.44,8537838
2025-05-23 00:00:00+05:30,201.44,204.6,200.61,203.29,6338397
2025-05-26 00:00:00+05:30,204.49,206.39,199.61,200.26,6522336
2025-05-27 00:00:00+05:30,202.0,202.9,199.23,201.13,9181108
2025-05-28 00:00:00+05:30,202.16,205.6,200.25,200.83,9159924
2025-05-29 00:00:00+05:30,201.49,205.4,199.25,204.51,8806978
2025-05-30 00:00:00+05:30,205.25,208.6,200.11,203.26,193439927
2025-06-02 00:00:00+05:30,199.0,204.4,193.41,194.55,20250116
2025-06-03 00:00:00+05:30,195.39,196.4,192.48,195.48,7676924
2025-06-04 00:00:00+05:30,196.0,196.3,193.68,195.05,6168700
2025-06-05 00:00:00+05:30,195.5,199.6,194.65,198.13,6028105
2025-06-06 00:00:00+05:30,198.8,198.8,196.55,197.2,6268363
2025-06-09 00:00:00+05:30,197.2,203.32,197.1,202.03,9955307
2025-06-10 00:00:00+05:30,203.96,203.96,198.56,199.3,2750326
2025-06-11 00:00:00+05:30,200.6,200.61,197.69,199.06,2941307
2025-06-12 00:00:00+05:30,199.9,200.1,193.95,194.49,2502702
2025-06-13 00:00:00+05:30,192.0,195.34,191.16,194.73,3108766
2025-06-16 00:00:00+05:30,194.73,196.77,192.2,195.1,4532367
2025-06-17 00:00:00+05:30,194.2,195.43,192.95,194.06,2992673
2025-06-18 00:00:00+05:30,193.6,197.9,193.15,196.21,4182314
2025-06-19 00:00:00+05:30,196.0,196.99,193.14,193.99,2186156
2025-06-20 00:00:00+05:30,193.55,198.57,193.23,197.07,19831617
2025-06-23 00:00:00+05:30,196.01,204.82,194.6,203.53,12120299
2025-06-24 00:00:00+05:30,204.1,204.99,196.27,198.36,6204984
2025-06-25 00:00:00+05:30,198.9,204.7,198.48,204.14,9021420
2025-06-26 00:00:00+05:30,204.25,207.89,202.4,206.85,5322917
2025-06-27 00:00:00+05:30,208.0,210.94,204.2,209.86,20037270
2025-06-30 00:00:00+05:30,210.0,210.38,206.66,208.39,3452461
2025-07-01 00:00:00+05:30,208.23,210.28,206.71,207.05,3847897
